source_center,destination_center,total_trips,median_delay_ratio,mean_delay_ratio,p90_delay_ratio,std_delay_ratio,sla_breaches,od_mean_dist_km,od_reliability,breach_rate,is_chronic,breach_share_pct
IND562132AAA,IND560300AAA,151,1.666666339869345,1.702430450702342,2.092592205075517,0.5338639108970742,140,45.28372516556291,0.1258278145695364,0.9271523178807947,True,0.5867314865261305
IND562132AAA,IND560099AAB,127,1.5094336774653438,1.6615540711804404,2.3509429526522734,0.5114183175638028,113,53.67416062992126,0.1417322834645669,0.889763779527559,True,0.4735761284103768
IND411033AAA,IND421302AAG,107,1.708333190972234,1.8922697394664758,2.389573717864104,0.5661612795082771,107,133.72233457943926,0.0,1.0,True,0.4484304932735426
IND421302AAG,IND400072AAB,105,2.5499987250006377,2.7522692084788862,3.9833315307547874,1.1502994152577921,105,27.531234285714284,0.0,1.0,True,0.4400486148945979
IND560099AAB,IND560300AAA,121,1.6851848731139123,1.7689287277393895,2.4411761115917483,0.5362880602158441,105,60.5744173553719,0.1652892561983471,0.8677685950413223,True,0.4400486148945979
IND400072AAD,IND421302AAG,99,2.583332256944893,3.619078982491932,7.102723979216406,2.498285611368302,99,26.06550303030303,0.0,1.0,True,0.4149029797577637
IND560099AAB,IND562132AAA,102,1.5428153810027923,1.7133523918046218,2.5655265739108177,0.6742539014775936,84,55.1361137254902,0.2254901960784313,0.8235294117647058,True,0.3520388919156783
IND560300AAA,IND562132AAA,108,1.4160978741888637,1.6471177693474195,2.372956859872026,0.785580858994716,79,52.27887592592592,0.3148148148148148,0.7314814814814815,True,0.3310841959683165
IND421302AAG,IND401104AAA,78,2.7559276281270586,3.217261637701004,4.583228957773497,2.0703917296143137,78,28.236496153846154,0.0,1.0,True,0.3268932567788441
IND110044AAB,IND000000ACB,76,1.6281418073629097,1.773878063854687,2.357142436224565,0.5301584422493577,75,68.95562368421054,0.0394736842105263,0.9868421052631579,True,0.31432043921042707
IND560300AAA,IND560099AAB,86,1.9424427846799865,1.9610891529272436,2.694444070216101,0.6848393311518378,74,67.48704069767442,0.1744186046511628,0.8604651162790697,True,0.3101295000209547
IND400072AAB,IND401104AAA,72,2.9999980000013333,3.136558796919734,4.284703328998063,0.9518859009045592,72,20.873058333333333,0.0,1.0,True,0.30174762164200997
IND421302AAG,IND411033AAA,72,1.8451409024280072,1.9439133002787565,2.350708071936008,0.47830294019001884,72,133.23236805555555,0.0,1.0,True,0.30174762164200997
IND000000ACA,IND160002AAC,71,2.096773855359056,2.1135948311142303,2.56666623888896,0.3942946542646372,71,92.9412732394366,0.0,1.0,True,0.29755668245253764
IND400072AAB,IND000000AFT,67,2.523808321996037,2.8871037352757356,3.6555535246924857,1.350985580028879,67,22.644450746268657,0.0,1.0,True,0.28079292569464814
IND000000ACB,IND562132AAA,66,1.6404943074946916,1.6478535222710053,1.7308588503397173,0.12578446067909022,66,2288.359743939394,0.0,1.0,True,0.2766019865051758
IND000000ACT,IND000000ACB,100,1.3363092190453296,1.620815099157378,2.6058472636496814,0.7480231576737013,66,45.038091,0.41,0.66,True,0.2766019865051758
IND160002AAC,IND000000ACB,66,1.9076778036050017,2.0342775788942524,2.5446461069895743,0.4124810668240367,66,296.5053696969697,0.0,1.0,True,0.2766019865051758
