node_id,hub_name,in_degree,out_degree,betweenness,closeness,clustering,in_degree_norm,out_degree_norm,betweenness_norm,closeness_norm,clustering_norm,importance_score,is_critical,sla_breach_count,sla_breach_rate,breach_share_pct,total_trips
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),45,47,0.2431635887438801,0.18413788102202136,0.03798947983635301,10.0,10.0,10.0,10.0,0.3798947983635301,40.37989479836353,True,1681,0.848989898989899,3.5224843887515194,1980
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),36,35,0.1374209437640441,0.17171453045399218,0.05357142857142857,8.0,7.446808510638298,5.6513783364493415,9.325323475046211,0.5357142857142857,30.959224607848135,True,1295,0.9036985345429169,2.7136331251833536,1433
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),30,27,0.07803055104986681,0.1668943381551489,0.042682926829268296,6.666666666666667,5.74468085106383,3.208973491999865,9.063552661127327,0.426829268292683,25.11070293915037,True,707,0.9632152588555858,1.4814970034784796,734
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),29,29,0.05245130135865117,0.1673076289520212,0.06156156156156156,6.444444444444445,6.170212765957447,2.1570376399526325,9.085997298514183,0.6156156156156156,24.473307764484325,True,1403,0.9992877492877493,2.939943841414861,1404
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),32,29,0.05357110968913228,0.1537720852068856,0.03433001107419712,7.111111111111111,6.170212765957447,2.203089285113232,8.350920753155389,0.3433001107419712,24.178634026079152,True,735,0.9176029962546817,1.5401701521310927,801
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),24,22,0.08287400110120687,0.16875124609556721,0.0392156862745098,5.333333333333333,4.680851063829787,3.4081583319818733,9.164396003633058,0.39215686274509803,22.97889559552315,True,477,0.9916839916839917,0.999538996689158,481
IND411033AAA,Pune_Tathawde_H (Maharashtra),23,20,0.050475453503772374,0.16201885498253282,0.06157635467980296,5.111111111111111,4.25531914893617,2.0757817305014883,8.798779158491387,0.6157635467980296,20.856754695838184,True,710,0.9686221009549796,1.487783412262688,733
IND110037AAM,Delhi_Airport_H (Delhi),20,22,0.05081139600291671,0.15473256044240644,0.06896551724137931,4.444444444444445,4.680851063829787,2.0895972240496685,8.403081407453675,0.6896551724137931,20.307629312191366,True,424,0.9614512471655329,0.8884791081681405,441
IND131028AAB,Sonipat_Kundli_H (Haryana),20,19,0.04692517745799789,0.15622881812168973,0.03908045977011494,4.444444444444445,4.042553191489362,1.9297781259275355,8.484338869035104,0.3908045977011494,19.291919228597596,True,427,0.7452006980802792,0.8947655169523491,573
IND201001AAC,Ghaziabad_Central_L_8 (Uttar Pradesh),2,2,0.0016812006131043616,0.14745644599303137,1.0,0.4444444444444444,0.425531914893617,0.06913866594044804,8.007936507936508,10.0,18.947051533215017,True,10,0.6666666666666666,0.020954695947361802,15
IND560002AAA,Bengaluru_KHRoad_I (Karnataka),3,2,0.0,0.13711817118171182,1.0,0.6666666666666666,0.425531914893617,0.0,7.446494464944648,10.0,18.53869304650493,True,80,0.7272727272727273,0.16763756757889442,110
IND560078AAC,BLR_JPNagar_Pc (Karnataka),3,2,0.0,0.13711817118171182,1.0,0.6666666666666666,0.425531914893617,0.0,7.446494464944648,10.0,18.53869304650493,True,95,0.9047619047619048,0.19906961149993713,105
IND560060AAB,Bengaluru_Kengeri_IP (Karnataka),3,2,0.0,0.1369413097116046,1.0,0.6666666666666666,0.425531914893617,0.0,7.436889625944351,10.0,18.529088207504635,True,98,0.7368421052631579,0.20535602028414568,133
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),18,18,0.0400444947097427,0.15567249430349353,0.05928853754940711,4.0,3.8297872340425534,1.6468129507629885,8.454126518642646,0.5928853754940712,18.523612078942257,True,516,0.9537892791127541,1.081262310883869,541
IND110030AAD,Delhi_Kishangarh_DPC (Delhi),2,1,0.0,0.14484125663708403,1.0,0.4444444444444444,0.2127659574468085,0.0,7.865913077372831,10.0,18.523123479264086,True,63,0.9692307692307692,0.13201458446837935,65
IND560085AAA,Bengaluru_Banshkri_DC (Karnataka),3,1,0.0,0.13711817118171182,1.0,0.6666666666666666,0.2127659574468085,0.0,7.446494464944648,10.0,18.325927089058123,True,50,0.8333333333333334,0.10477347973680902,60
IND560058AAD,Bengaluru_Peenya_L (Karnataka),3,1,0.0,0.1369413097116046,1.0,0.6666666666666666,0.2127659574468085,0.0,7.436889625944351,10.0,18.316322250057826,True,86,0.8958333333333334,0.18021038514731152,96
IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka),2,2,0.0,0.13691608102521705,1.0,0.4444444444444444,0.425531914893617,0.0,7.435519528371406,10.0,18.30549588770947,True,76,0.9156626506024096,0.1592556891999497,83
IND124103AAA,Jhajjar_DC (Haryana),1,1,0.0,0.14470025074082518,1.0,0.2222222222222222,0.2127659574468085,0.0,7.8582554517133945,10.0,18.293243631382424,True,22,1.0,0.04610033108419597,22
IND700065AAA,CCU_Beliaghata_DPC (West Bengal),2,2,0.0,0.1349764779885358,1.0,0.4444444444444444,0.425531914893617,0.0,7.33018525245187,10.0,18.20016161178993,True,57,1.0,0.11944176689996228,57
IND700026AAC,CCU_Lake Avenue_DPC (West Bengal),2,2,0.0,0.1349764779885358,1.0,0.4444444444444444,0.425531914893617,0.0,7.33018525245187,10.0,18.20016161178993,True,37,1.0,0.07753237500523867,37
IND401104AAB,Mumbai_MiraRoad_M (Maharashtra),2,2,0.0,0.13417232132241885,1.0,0.4444444444444444,0.425531914893617,0.0,7.2865138111572465,10.0,18.15649017049531,True,39,1.0,0.08172331419471103,39
