trip_uuid,source_center,osrm_distance,p_breach_carting,p_breach_ftl,exp_cost_carting,exp_cost_ftl,historical_choice,recommended_route_type,cost_savings
trip-153676033839698871,IND000000AAL,30.139000000000003,0.943,0.921,501.69725805664064,535.9082299804687,Carting,Carting,34.21097192382808
trip-153678027575077638,IND000000AAL,31.201500000000003,0.708,0.694,385.3861923828125,425.0864526367188,Carting,Carting,39.700260253906265
trip-153687183812986231,IND000000AAL,28.4735,0.725,0.86,391.117787109375,501.29959472656253,Carting,Carting,110.18180761718753
trip-153695090059907245,IND000000AAL,27.2901,0.766,0.861,410.36355581054687,498.7954404296875,Carting,Carting,88.43188461914065
trip-153696359145586670,IND000000AAL,26.315,0.731,0.865,391.863095703125,498.14226684570315,Carting,Carting,106.27917114257815
trip-153705680712413176,IND000000AAL,28.0472,0.571,0.571,313.7912795898437,355.86207958984374,Carting,Carting,42.07080000000002
trip-153709987802882184,IND000000AAL,27.0878,0.918,0.925,486.2625741699219,530.0724357910157,Carting,Carting,43.80986162109377
trip-153713092350779175,IND000000AAL,28.8138,0.704,0.849,381.0290099609375,496.54484545898435,Carting,Carting,115.51583549804684
trip-153719134508617934,IND000000AAL,26.8018,0.929,0.935,491.4229853027344,534.4098955078125,Carting,Carting,42.98691020507812
trip-153727712659701123,IND000000AAL,29.5349,0.942,0.947,500.5692322753906,547.3402102050782,Carting,Carting,46.77097792968755
trip-153736536977220164,IND000000AAL,27.7614,0.947,0.951,501.32286240234373,545.082455078125,Carting,Carting,43.75959267578128
trip-153751317056668638,IND000000AAL,28.4587,0.674,0.674,365.3640955078125,408.0521455078125,Carting,Carting,42.688049999999976
trip-153753822247681124,IND000000AAL,25.3432,0.929,0.935,489.9643853027344,530.7633955078124,Carting,Carting,40.79901020507805
trip-153761851236273429,IND000000AAL,30.527,0.912,0.88,486.709373046875,516.3136242675781,Carting,Carting,29.604251220703134
trip-153840184950225356,IND000000AAL,27.6715,0.947,0.951,501.23296240234373,544.857705078125,Carting,Carting,43.624742675781306
trip-153841881146934430,IND000000AAL,30.6155,0.723,0.691,391.9525361328125,421.945244140625,Carting,Carting,29.992708007812496
trip-153848713204084823,IND000000AAL,34.0313,0.926,0.894,497.0558361328125,532.229861328125,Carting,Carting,35.17402519531254
trip-153857674884251648,IND000000AAL,31.8269,0.932,0.903,498.04336118164065,531.1377456054688,Carting,Carting,33.09438442382816
trip-153844029236173803,IND000000AAQ,13.7468,0.925,0.933,476.4202313964844,500.88900317382814,Carting,Carting,24.46877177734376
trip-153852659031416228,IND000000AAQ,14.0546,0.925,0.933,476.72803139648437,501.65850317382814,Carting,Carting,24.93047177734377
trip-153699710700861554,IND000000AAS,42.6133,0.845,0.876,465.16023603515623,544.3664409179687,FTL,Carting,79.20620488281247
trip-153717306559016761,IND000000AAS,41.7073,0.746,0.853,414.85228901367185,530.7756962890625,FTL,Carting,115.92340727539062
trip-153742183377444012,IND000000AAS,42.595200000000006,0.841,0.889,463.011948046875,550.7659846191407,FTL,Carting,87.7540365722657
trip-153750301916151927,IND000000AAS,38.4114,0.789,0.828,432.6983567871094,510.0442470703125,FTL,Carting,77.34589028320312
trip-153758895506669465,IND000000AAS,42.6142,0.845,0.876,465.16113603515623,544.3686909179687,FTL,Carting,79.20755488281247
trip-153768065158897823,IND000000AAS,39.1247,0.789,0.828,433.4116567871094,511.82749707031246,FTL,Carting,78.41584028320307
trip-153778050614306190,IND000000AAS,42.5405,0.841,0.889,462.957248046875,550.6292346191407,FTL,Carting,87.67198657226567
trip-153786220794548811,IND000000AAS,41.7823,0.836,0.885,459.58079243164065,546.7928471679687,FTL,Carting,87.21205473632807
trip-153793444185245279,IND000000AAS,41.7657,0.84,0.871,461.7510515625,540.1145063476563,FTL,Carting,78.3634547851563
trip-153678405822188932,IND000000AAZ,109.3067,0.839,0.812,528.9154341308594,679.3246723632813,FTL,Carting,150.4092382324219
trip-153782024319539427,IND000000AAZ,93.7069,0.774,0.767,480.8590911621094,617.7661818847656,FTL,Carting,136.90709072265622
trip-153728865172289775,IND000000ABA,18.2372,0.458,0.452,247.37614653320313,271.3480201416016,Carting,Carting,23.971873608398454
trip-153737918556599993,IND000000ABA,18.699,0.458,0.452,247.83794653320314,272.50252014160156,Carting,Carting,24.664573608398427
trip-153746514145494319,IND000000ABA,19.1988,0.489,0.482,263.7845391357422,289.17381884765626,Carting,Carting,25.38927971191407
trip-153781514977396913,IND000000ABA,11.3572,0.819,0.815,421.0494912597656,436.0479987792969,Carting,Carting,14.998507519531302
trip-153789877512280161,IND000000ABA,18.7146,0.489,0.482,263.3003391357422,287.96331884765624,Carting,Carting,24.662979711914033
trip-153807462781768214,IND000000ABA,14.5629,0.643,0.637,336.30438559570314,355.00585229492185,Carting,Carting,18.701466699218713
trip-153833359510091857,IND000000ABA,16.8947,0.596,0.589,314.6726235839844,336.71917187500003,Carting,Carting,22.046548291015654
trip-153677056637168609,IND000000ABD,443.96,0.626,0.618,757.0258569335938,1418.7190612792967,FTL,Carting,661.693204345703
trip-153685080348232663,IND000000ABD,446.3341,0.626,0.618,759.3999569335938,1424.6543112792967,FTL,Carting,665.254354345703
trip-153694475366325284,IND000000ABD,442.374,0.626,0.618,755.4398569335938,1414.7540612792968,FTL,Carting,659.314204345703
trip-153711801471977037,IND000000ABD,448.2808,0.626,0.618,761.3466569335937,1429.5210612792969,FTL,Carting,668.1744043457031
trip-153729020845221559,IND000000ABD,454.5331,0.6,0.592,754.76210390625,1432.2134873046875,FTL,Carting,677.4513833984375
trip-153737707333938654,IND000000ABD,451.5319,0.6,0.592,751.76090390625,1424.7104873046876,FTL,Carting,672.9495833984377
trip-153746030496462111,IND000000ABD,439.2914,0.681,0.673,779.9493284667969,1434.9395290527343,FTL,Carting,654.9902005859374
trip-153755080184351176,IND000000ABD,438.9809,0.626,0.618,752.0467569335938,1406.271311279297,FTL,Carting,654.2245543457032
trip-153763068441662381,IND000000ABD,439.5145,0.681,0.673,780.1724284667969,1435.4972790527345,FTL,Carting,655.3248505859376
trip-153772074550768308,IND000000ABD,454.3916,0.6,0.592,754.6206039062499,1431.8597373046875,FTL,Carting,677.2391333984376
trip-153780832205429757,IND000000ABD,444.487,0.681,0.673,785.144928466797,1447.9285290527343,FTL,Carting,662.7836005859374
trip-153789408087399847,IND000000ABD,446.0412,0.626,0.618,759.1070569335938,1423.922061279297,FTL,Carting,664.8150043457032
trip-153675959648314302,IND000000ABG,35.8043,0.954,0.96,512.837747265625,569.7450944824219,Carting,Carting,56.90734721679689
trip-153701943630776129,IND000000ABG,34.3237,0.955,0.962,511.9865112792969,566.5888215332031,Carting,Carting,54.60231025390624
trip-153719600634667719,IND000000ABG,30.5075,0.959,0.964,510.12072021484374,558.08173828125,Carting,Carting,47.96101806640621
trip-153736392812488696,IND000000ABG,33.2301,0.955,0.962,510.89291127929687,563.8548215332031,Carting,Carting,52.96191025390624
trip-153744844338723988,IND000000ABG,34.4417,0.955,0.962,512.1045112792968,566.8838215332031,Carting,Carting,54.77931025390626
trip-153754016942851792,IND000000ABG,36.353,0.954,0.96,513.386447265625,571.1168444824219,Carting,Carting,57.73039721679697
trip-153762984190037764,IND000000ABG,34.7764,0.956,0.962,512.9515403808593,568.1642360839844,Carting,Carting,55.212695703125064
trip-153788911612120664,IND000000ABG,35.5159,0.956,0.962,513.6910403808594,570.0129860839844,Carting,Carting,56.32194570312504
trip-153796976791907063,IND000000ABG,36.3484,0.954,0.96,513.381847265625,571.1053444824219,Carting,Carting,57.723497216796886
trip-153805845189228423,IND000000ABG,34.3813,0.955,0.962,512.0441112792969,566.7328215332032,Carting,Carting,54.688710253906265
trip-153814269675283786,IND000000ABG,34.516400000000004,0.955,0.962,512.1792112792969,567.0705715332032,Carting,Carting,54.89136025390633
trip-153730815491775729,IND000000ACA,51.5765,0.501,0.819,301.9399033203125,538.4662438964843,FTL,Carting,236.52634057617183
trip-153756837509161381,IND000000ACA,51.5892,0.501,0.819,301.9526033203125,538.4979938964843,FTL,Carting,236.54539057617183
trip-153684971946545590,IND000000ACA,91.424,0.688,0.827,435.66969702148435,642.1418481445312,FTL,Carting,206.47215112304684
trip-153694018195636696,IND000000ACA,75.3254,0.742,0.872,446.2899080566406,624.3836599121094,FTL,Carting,178.09375185546872
trip-153702478830503680,IND000000ACA,76.4452,0.713,0.86,432.995248828125,620.8659907226563,FTL,Carting,187.8707418945313
trip-153711308459107107,IND000000ACA,75.5552,0.742,0.872,446.51970805664064,624.9581599121094,FTL,Carting,178.43845185546877
trip-153762938662337198,IND000000ACA,81.33109999999999,0.72,0.855,441.23231459960937,630.6505649414062,FTL,Carting,189.4182503417968
trip-153771743280773765,IND000000ACA,76.2221,0.713,0.86,432.772148828125,620.3082407226563,FTL,Carting,187.53609189453124
trip-153788665196527462,IND000000ACA,85.3857,0.684,0.847,427.34901787109374,637.0315107421875,FTL,Carting,209.68249287109376
trip-153797332734220125,IND000000ACA,79.1585,0.684,0.847,421.12181787109375,621.4635107421875,FTL,Carting,200.34169287109376
trip-153806017528059809,IND000000ACA,80.0834,0.684,0.847,422.04671787109373,623.7757607421875,FTL,Carting,201.72904287109372
trip-153687603164286922,IND000000ACA,44.1867,0.518,0.84,303.2801448242187,530.560744140625,FTL,Carting,227.28059931640632
trip-153704970978896432,IND000000ACA,32.2943,0.565,0.838,315.01237861328127,499.74865893554687,FTL,Carting,184.7362803222656
trip-153739560314360978,IND000000ACA,40.6691,0.62,0.863,350.63067836914064,533.0552573242187,FTL,Carting,182.42457895507806
trip-153748448229637396,IND000000ACA,40.7987,0.62,0.863,350.7602783691406,533.3792573242188,FTL,Carting,182.61897895507815
trip-153765696703697135,IND000000ACA,27.7383,0.836,0.937,445.88902631835936,537.9777995605468,FTL,Carting,92.08877324218747
trip-153774283394634034,IND000000ACA,28.8198,0.751,0.921,404.3638673828125,532.5993657226562,FTL,Carting,128.23549833984373
trip-153817397378904479,IND000000ACA,27.3742,0.836,0.937,445.52492631835935,537.0675495605469,FTL,Carting,91.54262324218757
trip-153825978202410674,IND000000ACA,27.4744,0.836,0.937,445.6251263183594,537.3180495605469,FTL,Carting,91.69292324218753
trip-153834502874428106,IND000000ACA,27.4628,0.836,0.937,445.6135263183594,537.2890495605469,FTL,Carting,91.67552324218752
trip-153844023427168137,IND000000ACA,27.484,0.917,0.92,485.89617041015623,528.566201171875,FTL,Carting,42.670030761718806
trip-153852189717216543,IND000000ACA,27.497100000000003,0.836,0.937,445.64782631835936,537.3747995605469,FTL,Carting,91.72697324218751
trip-153860448773300545,IND000000ACA,27.3977,0.836,0.937,445.54842631835936,537.1262995605468,FTL,Carting,91.57787324218748
trip-153771869321843643,IND000000ACA,155.2326,0.707,0.733,508.97622182617187,754.7545651855469,FTL,Carting,245.77834335937501
trip-153677015300687587,IND000000ACA,70.1544,0.693,0.85,416.82410825195313,600.2132705078125,FTL,Carting,183.38916225585933
trip-153685690199208775,IND000000ACA,70.0687,0.693,0.85,416.73840825195316,599.9990205078125,FTL,Carting,183.26061225585931
trip-153694270612474364,IND000000ACA,70.9086,0.693,0.85,417.5783082519531,602.0987705078126,FTL,Carting,184.52046225585946
trip-153702765187481933,IND000000ACA,69.4616,0.744,0.874,441.5505282226562,610.5476157226562,FTL,Carting,168.99708750000002
trip-153711440636180931,IND000000ACA,70.7623,0.693,0.85,417.4320082519531,601.7330205078125,FTL,Carting,184.3010122558594
trip-153720240890995589,IND000000ACA,75.03659999999999,0.669,0.835,409.4807833496094,604.9392478027344,FTL,Carting,195.45846445312498
trip-153728605664591889,IND000000ACA,70.1202,0.763,0.884,451.56932719726564,617.3910151367188,FTL,Carting,165.82168793945317
trip-153737404177486996,IND000000ACA,69.32079999999999,0.744,0.874,441.4097282226562,610.1956157226562,FTL,Carting,168.78588749999994
trip-153746155271399856,IND000000ACA,69.09,0.744,0.874,441.1789282226563,609.6186157226563,FTL,Carting,168.4396875
trip-153754940893418667,IND000000ACA,69.4255,0.701,0.838,420.14150341796875,592.8052661132813,FTL,Carting,172.66376269531253
trip-153763365097980107,IND000000ACA,70.6019,0.693,0.85,417.2716082519531,601.3320205078126,FTL,Carting,184.06041225585943
trip-153780769577546087,IND000000ACA,68.3269,0.744,0.874,440.4158282226563,607.7108657226563,FTL,Carting,167.29503750000003
trip-153789251313399875,IND000000ACA,68.55239999999999,0.744,0.874,440.6413282226562,608.2746157226562,FTL,Carting,167.6332875
trip-153797893986175380,IND000000ACA,73.594,0.693,0.85,420.2637082519531,608.8122705078125,FTL,Carting,188.5485622558594
trip-153806526543338417,IND000000ACA,68.5305,0.744,0.874,440.61942822265627,608.2198657226563,FTL,Carting,167.60043750000006
trip-153841157594938418,IND000000ACA,68.4903,0.744,0.874,440.57922822265624,608.1193657226563,FTL,Carting,167.54013750000007
trip-153849725440485972,IND000000ACA,68.0523,0.744,0.874,440.14122822265625,607.0243657226563,FTL,Carting,166.88313750000003
trip-153679558961732282,IND000000ACA,66.9994,0.416,0.755,274.77190671386717,544.7999526367187,FTL,Carting,270.0280459228515
trip-153696190957594785,IND000000ACA,68.8993,0.639,0.884,388.4253314941406,614.4932756347656,FTL,Carting,226.067944140625
trip-153704936693428441,IND000000ACA,70.6451,0.495,0.81,318.0052531982422,581.7794064941406,FTL,Carting,263.77415329589843
trip-153713594640685309,IND000000ACA,66.36070000000001,0.411,0.751,271.76157890625,541.3828596191406,FTL,Carting,269.6212807128906
trip-153739555518953118,IND000000ACA,67.0172,0.416,0.755,274.7897067138672,544.8444526367188,FTL,Carting,270.05474592285157
trip-153748436963133413,IND000000ACA,67.0307,0.416,0.755,274.8032067138672,544.8782026367187,FTL,Carting,270.0749959228515
trip-153756828148812521,IND000000ACA,67.01140000000001,0.416,0.755,274.78390671386717,544.8299526367188,FTL,Carting,270.0460459228516
trip-153765681980131379,IND000000ACA,70.37270000000001,0.458,0.787,299.32637431640626,569.2296931152343,FTL,Carting,269.9033187988281
trip-153774247125946092,IND000000ACA,48.4727,0.518,0.829,307.5661448242188,535.769640625,FTL,Carting,228.20349580078118
trip-153783326922584898,IND000000ACA,61.7078,0.399,0.743,261.19565400390627,525.9548332519531,FTL,Carting,264.75917924804685
trip-153791769789452743,IND000000ACA,67.0484,0.416,0.755,274.8209067138672,544.9224526367187,FTL,Carting,270.1015459228515
trip-153799931829697358,IND000000ACA,67.3496,0.416,0.755,275.1221067138672,545.6754526367188,FTL,Carting,270.5533459228516
trip-153679669508452551,IND000000ACA,49.9567,0.518,0.829,309.05014482421876,539.479640625,FTL,Carting,230.42949580078124
trip-153791564151074804,IND000000ACA,37.0848,0.62,0.87,347.0463783691406,527.5601750488281,FTL,Carting,180.51379667968752
trip-153808697523896410,IND000000ACA,37.1418,0.62,0.87,347.1033783691406,527.7026750488282,FTL,Carting,180.59929667968754
trip-153676548851084091,IND000000ACA,154.5822,0.675,0.73,492.20530791015625,751.3850043945313,FTL,Carting,259.17969648437503
trip-153676079707731792,IND000000ACA,88.889,0.688,0.827,433.1346970214844,635.8043481445312,FTL,Carting,202.66965112304683
trip-153678562388716741,IND000000ACA,88.6213,0.621,0.804,399.1488573730469,623.470974609375,FTL,Carting,224.32211723632815
trip-153673633086629901,IND000000ACA,88.8041,0.801,0.867,489.08834072265626,655.4405478515625,FTL,Carting,166.3522071289063
trip-153676126992390519,IND000000ACA,88.215,0.749,0.838,462.83356079101566,639.61416015625,FTL,Carting,176.78059936523437
trip-153684817790849844,IND000000ACA,88.1074,0.703,0.847,439.74335581054686,643.8357607421875,FTL,Carting,204.09240493164066
trip-153686854849650949,IND000000ACA,108.2775,0.704,0.815,460.32452758789066,678.2373291015625,FTL,Carting,217.91280151367187
trip-153682503952880116,IND000000ACA,87.9849,0.793,0.881,484.2473816894531,660.6735537109375,FTL,Carting,176.42617202148443
trip-153684967382035290,IND000000ACA,100.7394,0.749,0.833,475.3579607910156,668.1548049316407,FTL,Carting,192.79684414062507
trip-153693731468602506,IND000000ACA,88.8399,0.724,0.835,450.8689832519531,639.832416015625,FTL,Carting,188.96343276367185
trip-153695447014913400,IND000000ACA,87.80760000000001,0.637,0.826,406.482648828125,632.48628515625,FTL,Carting,226.00363632812503
trip-153691179527355308,IND000000ACA,88.8839,0.781,0.867,479.28618271484373,655.6400478515625,FTL,Carting,176.35386513671875
trip-153692515127324069,IND000000ACA,101.186,0.788,0.853,495.07201684570316,679.2488439941407,FTL,Carting,184.1768271484375
trip-153693551772286278,IND000000ACA,88.3371,0.749,0.838,462.95566079101565,639.91941015625,FTL,Carting,176.96374936523438
trip-153702124582751151,IND000000ACA,88.9098,0.688,0.827,433.1554970214844,635.8563481445312,FTL,Carting,202.70085112304685
trip-153704107466692240,IND000000ACA,95.9842,0.621,0.797,406.51175737304686,638.6624653320313,FTL,Carting,232.1507079589844
trip-153700100207362120,IND000000ACA,89.306,0.718,0.774,448.1398623046875,610.1373754882812,FTL,Carting,161.99751318359375
trip-153700578028044433,IND000000ACA,89.314,0.795,0.863,487.00870214843746,654.8393212890625,FTL,Carting,167.830619140625
trip-153702427151515121,IND000000ACA,88.74889999999999,0.749,0.838,463.3674607910156,640.94891015625,FTL,Carting,177.5814493652344
trip-153711231882102265,IND000000ACA,100.7942,0.652,0.777,426.65363603515624,640.3318745117188,FTL,Carting,213.6782384765625
trip-153709159977109492,IND000000ACA,101.3061,0.767,0.853,484.860543359375,679.5490939941407,FTL,Carting,194.68855063476565
trip-153709634540345122,IND000000ACA,101.777,0.782,0.848,492.95250659179686,678.6842297363281,FTL,Carting,185.73172314453126
trip-153717643109182966,IND000000ACA,101.6296,0.749,0.833,476.2481607910156,670.3803049316406,FTL,Carting,194.13214414062497
trip-153719598501232436,IND000000ACA,101.8239,0.612,0.766,407.73729111328123,637.6874050292969,FTL,Carting,229.95011391601565
trip-153721525125517186,IND000000ACA,95.7293,0.621,0.804,406.25685737304684,641.2409746093749,FTL,Carting,234.98411723632807
trip-153717710190212246,IND000000ACA,88.7599,0.781,0.867,479.16218271484377,655.3300478515625,FTL,Carting,176.16786513671877
trip-153722840477177740,IND000000ACA,130.8607,0.829,0.853,545.4037908203125,753.5728315429687,Carting,Carting,208.1690407226563
trip-153719200514526438,IND000000ACA,95.6501,0.749,0.838,470.26866079101563,658.20191015625,FTL,Carting,187.93324936523442
trip-153730012498338348,IND000000ACA,101.4103,0.621,0.797,411.9378573730469,652.2277153320313,FTL,Carting,240.28985795898438
trip-153725712267205031,IND000000ACA,89.4332,0.781,0.867,479.83548271484375,657.0132978515625,FTL,Carting,177.17781513671872
trip-153727170155504477,IND000000ACA,88.266,0.786,0.857,481.49079248046877,648.9620581054687,FTL,Carting,167.47126562499994
trip-153728374537698919,IND000000ACA,89.2225,0.749,0.838,463.8410607910156,642.13291015625,FTL,Carting,178.29184936523438
trip-153736824717232236,IND000000ACA,88.6549,0.688,0.827,432.9005970214844,635.2190981445312,FTL,Carting,202.31850112304687
trip-153738947703878137,IND000000ACA,100.537,0.621,0.797,411.0645573730469,650.0444653320312,FTL,Carting,238.9799079589843
trip-153734583882101389,IND000000ACA,89.0137,0.781,0.867,479.4159827148437,655.9645478515624,FTL,Carting,176.5485651367187
trip-153735683153303538,IND000000ACA,100.9508,0.782,0.848,492.1263065917969,676.6187297363281,FTL,Carting,184.4924231445312
trip-153736633871170978,IND000000ACA,101.1375,0.749,0.833,475.7560607910156,669.1500549316406,FTL,Carting,193.393994140625
trip-153745131968683101,IND000000ACA,88.0526,0.703,0.847,439.68855581054686,643.6987607421875,FTL,Carting,204.0102049316406
trip-153747370502736335,IND000000ACA,100.5832,0.621,0.797,411.1107573730469,650.1599653320313,FTL,Carting,239.04920795898443
trip-153743239366268247,IND000000ACA,88.8026,0.781,0.867,479.20488271484373,655.4367978515625,FTL,Carting,176.23191513671873
trip-153744864881414320,IND000000ACA,85.8335,0.807,0.878,489.09512719726564,653.5954382324219,FTL,Carting,164.50031103515624
trip-153745402922913960,IND000000ACA,101.0088,0.749,0.833,475.62736079101563,668.8283049316406,FTL,Carting,193.20094414062493
trip-153753969683207060,IND000000ACA,88.9844,0.688,0.827,433.23009702148437,636.0428481445313,FTL,Carting,202.8127511230469
trip-153756148409818744,IND000000ACA,102.0272,0.621,0.797,412.55475737304687,653.7699653320312,FTL,Carting,241.21520795898437
trip-153751820785192976,IND000000ACA,88.4969,0.781,0.867,478.89918271484373,654.6725478515625,FTL,Carting,175.77336513671878
trip-153753104446295867,IND000000ACA,101.8315,0.782,0.848,493.0070065917969,678.8204797363281,FTL,Carting,185.81347314453126
trip-153753829774377316,IND000000ACA,95.7318,0.749,0.838,470.35036079101565,658.40616015625,FTL,Carting,188.0557993652344
trip-153762673254298526,IND000000ACA,88.3621,0.688,0.827,432.6077970214844,634.4870981445313,FTL,Carting,201.8793011230469
trip-153764575570684847,IND000000ACA,88.77000000000001,0.621,0.804,399.29755737304686,623.842724609375,FTL,Carting,224.5451672363281
trip-153760638011640248,IND000000ACA,89.2889,0.801,0.867,489.57314072265626,656.6525478515625,FTL,Carting,167.07940712890627
trip-153761444113630534,IND000000ACA,100.853,0.782,0.848,492.0285065917969,676.3742297363281,FTL,Carting,184.34572314453118
trip-153762480766336369,IND000000ACA,87.8516,0.762,0.857,468.9172433105469,648.1658957519531,FTL,Carting,179.24865244140625
trip-153773577317013337,IND000000ACA,90.0079,0.621,0.804,400.5354573730469,626.937474609375,FTL,Carting,226.40201723632816
trip-153769980389348402,IND000000ACA,90.825,0.801,0.867,491.10924072265624,660.4927978515625,FTL,Carting,169.38355712890626
trip-153771017268795297,IND000000ACA,87.8523,0.762,0.857,468.9179433105469,648.1676457519532,FTL,Carting,179.24970244140627
trip-153781957631192182,IND000000ACA,101.2776,0.621,0.797,411.8051573730469,651.8959653320312,FTL,Carting,240.09080795898433
trip-153778963187739360,IND000000ACA,100.4022,0.783,0.849,491.68241240234374,675.3262397460937,FTL,Carting,183.64382734375
trip-153788646927839254,IND000000ACA,87.8593,0.703,0.847,439.4952558105469,643.2155107421875,FTL,Carting,203.72025493164057
trip-153786415217646798,IND000000ACA,87.9766,0.793,0.881,484.23908168945314,660.6528037109375,FTL,Carting,176.41372202148438
trip-153788893394878690,IND000000ACA,87.9443,0.798,0.872,486.91744453125,655.9174821777344,FTL,Carting,169.00003764648443
trip-153794978455107087,IND000000ACA,87.8392,0.793,0.881,484.10168168945313,660.3093037109375,FTL,Carting,176.20762202148433
trip-153803613655859478,IND000000ACA,87.9654,0.811,0.881,493.70905234375,660.6248037109375,FTL,Carting,166.9157513671875
trip-153805947380180455,IND000000ACA,87.91579999999999,0.762,0.857,468.98144331054687,648.3263957519531,FTL,Carting,179.34495244140624
trip-153820854477264327,IND000000ACA,87.8708,0.811,0.881,493.61445234375003,660.3883037109375,FTL,Carting,166.7738513671875
trip-153822696189317074,IND000000ACA,87.9059,0.807,0.878,491.1675271972656,658.7764382324219,FTL,Carting,167.60891103515632
trip-153829669145579682,IND000000ACA,87.8844,0.793,0.881,484.14688168945315,660.4223037109375,FTL,Carting,176.27542202148436
trip-153840968499181497,IND000000ACA,87.8095,0.664,0.808,419.8657744140625,623.6766430664063,FTL,Carting,203.8108686523438
trip-153838145192307752,IND000000ACA,87.7458,0.793,0.881,484.00828168945316,660.0758037109375,FTL,Carting,176.06752202148436
trip-153840264453436089,IND000000ACA,87.8937,0.762,0.857,468.95934331054684,648.2711457519531,FTL,Carting,179.31180244140626
trip-153846723403115822,IND000000ACA,87.8528,0.793,0.881,484.1152816894531,660.3433037109376,FTL,Carting,176.22802202148443
trip-153849158526778484,IND000000ACA,87.7654,0.762,0.857,468.8310433105469,647.9503957519531,FTL,Carting,179.11935244140625
trip-153855337914041983,IND000000ACA,87.8457,0.811,0.881,493.58935234374997,660.3255537109375,FTL,Carting,166.7362013671875
trip-153672205264952830,IND000000ACB,62.1482,0.763,0.803,443.7396611816406,556.9697431640625,Carting,Carting,113.2300819824219
trip-153677149130204202,IND000000ACB,63.1784,0.714,0.806,420.2477054199219,560.8471840820313,Carting,Carting,140.5994786621094
trip-153678927211198842,IND000000ACB,63.1615,0.513,0.837,319.78302099609374,576.4331384277343,Carting,Carting,256.6501174316406
trip-153680793032469123,IND000000ACB,62.1751,0.763,0.803,443.7665611816406,557.0369931640626,Carting,Carting,113.27043198242194
trip-153685461318522656,IND000000ACB,69.1186,0.683,0.773,410.58655654296876,559.3239658203125,Carting,Carting,148.73740927734377
trip-153687494477624164,IND000000ACB,78.6925,0.141,0.624,148.9823941040039,508.83644409179686,Carting,Carting,359.85404998779296
trip-153689484575687146,IND000000ACB,62.2188,0.763,0.803,443.8102611816406,557.1462431640625,Carting,Carting,113.33598198242191
trip-153696005917969315,IND000000ACB,59.4842,0.22,0.579,169.5294194213867,438.17534375,Carting,Carting,268.6459243286133
trip-153698226251886214,IND000000ACB,80.6426,0.499,0.678,330.37178701171877,540.5722287597656,Carting,Carting,210.20044174804684
trip-153704642355284490,IND000000ACB,63.1072,0.513,0.837,319.7287209960937,576.2973884277344,Carting,Carting,256.5686674316407
trip-153706547672389425,IND000000ACB,62.1852,0.78,0.827,452.08919169921876,569.1156184082031,Carting,Carting,117.02642670898433
trip-153713472756087937,IND000000ACB,74.7542,0.193,0.68,171.45985795898437,526.9234028320312,Carting,Carting,355.4635448730469
trip-153722103318717795,IND000000ACB,74.7192,0.193,0.68,171.42485795898438,526.8359028320313,Carting,Carting,355.4110448730469
trip-153730658599693630,IND000000ACB,62.5679,0.513,0.837,319.18942099609376,574.9491384277344,Carting,Carting,255.75971743164064
trip-153748197027883565,IND000000ACB,73.1763,0.187,0.671,166.61074061279297,518.3213347167969,Carting,Carting,351.7105941040039
trip-153756165847998463,IND000000ACB,78.6078,0.141,0.593,149.25483369140625,493.25628588867187,Carting,Carting,344.0014521972656
trip-153790882552276730,IND000000ACB,61.0422,0.275,0.617,198.40337553710938,461.2093818359375,Carting,Carting,262.80600629882815
trip-153808082748268672,IND000000ACB,60.9537,0.275,0.617,198.31487553710937,460.9881318359375,Carting,Carting,262.67325629882816
trip-153816998771384265,IND000000ACB,60.9534,0.274,0.647,197.72763095703124,475.9918374023438,Carting,Carting,278.26420644531254
trip-153825621874949353,IND000000ACB,60.8946,0.274,0.647,197.66883095703125,475.8448374023437,Carting,Carting,278.1760064453125
trip-153834561597700289,IND000000ACB,60.9408,0.285,0.66,203.5996134765625,482.5753276367187,Carting,Carting,278.97571416015626
trip-153842820922356106,IND000000ACB,61.1012,0.274,0.647,197.87543095703126,476.36133740234374,Carting,Carting,278.4859064453125
trip-153851618715003945,IND000000ACB,60.9708,0.274,0.647,197.74503095703125,476.03533740234377,Carting,Carting,278.2903064453125
trip-153676402864153839,IND000000ACB,68.5167,0.715,0.772,426.0293647949219,557.2037983398437,Carting,Carting,131.17443354492184
trip-153685091296150452,IND000000ACB,74.229,0.581,0.719,364.7080344238281,544.8245141601562,Carting,Carting,180.11647973632813
trip-153702343548429955,IND000000ACB,69.8939,0.51,0.682,324.99993332519534,515.8015529785157,Carting,Carting,190.80161965332036
trip-153719680786277914,IND000000ACB,69.28,0.77,0.801,454.05499389648435,573.6635009765625,Carting,Carting,119.6085070800782
trip-153728194910573874,IND000000ACB,77.5503,0.44,0.649,297.3191446044922,518.4139885253906,Carting,Carting,221.09484392089837
trip-153736823758004652,IND000000ACB,69.1398,0.715,0.772,426.65246479492185,558.7615483398438,Carting,Carting,132.10908354492193
trip-153672127651656092,IND000000ACB,55.5006,0.54,0.597,325.29167666015627,437.4771469726562,Carting,Carting,112.18547031249994
trip-153676548231215741,IND000000ACB,54.2866,0.683,0.703,395.5913790527344,487.14405126953125,Carting,Carting,91.55267221679685
trip-153677937630401638,IND000000ACB,51.7342,0.336,0.642,219.55953264160155,450.35652661132815,Carting,Carting,230.7969939697266
