trip_uuid,source_center,destination_center,route_type,segment_osrm_time,segment_actual_time,baseline_pred_min,graph_pred_min,baseline_err_pct,graph_err_pct,graph_wins
trip-153833342634979183,IND516390AAA,IND515004AAA,FTL,100.0,193.0,203.1,180.57,5.234998001335816,6.441456605724354,False
trip-153842315632756323,IND516390AAA,IND515004AAA,FTL,100.0,158.0,172.36,164.49,9.089573727378362,4.104798542370211,True
trip-153859330167889859,IND516390AAA,IND515004AAA,FTL,84.0,157.0,166.51,154.07,6.057768414734276,1.8632465212633516,True
trip-153802021359954030,IND517501AAB,IND517583AAA,Carting,26.0,57.0,57.5,52.31,0.8762158845600329,8.220912167134069,False
trip-153810701976598210,IND517501AAB,IND517583AAA,Carting,24.0,59.0,60.45,56.09,2.459024978896319,4.927982826128795,False
trip-153819368789662557,IND517501AAB,IND517583AAA,Carting,24.0,53.0,53.17,49.05,0.3187503454820165,7.445408979660878,False
trip-153836403640980213,IND517501AAB,IND517583AAA,Carting,25.0,55.0,52.6,49.57,4.359311190518466,9.869525019939053,False
trip-153845507330248393,IND517501AAB,IND517583AAA,Carting,25.0,52.0,53.04,49.33,2.0082620474008417,5.140339520751498,False
trip-153853865465663527,IND517501AAB,IND517583AAA,Carting,25.0,50.0,52.07,48.64,4.131263732910156,2.7208552147293403,True
trip-153802078450459942,IND517501AAB,IND517644AAA,FTL,35.0,83.0,81.38,79.33,1.9462769290050828,4.419814878631105,False
trip-153810762744814459,IND517501AAB,IND517644AAA,FTL,30.0,77.0,84.12,77.12,9.240910914037133,0.15733572318252642,True
trip-153819415176480421,IND517501AAB,IND517644AAA,FTL,34.0,71.0,73.12,73.31,2.9864029145576585,3.25961158984543,False
trip-153836507123991146,IND517501AAB,IND517644AAA,FTL,29.0,77.0,84.78,74.9,10.098920549665179,2.723525733380526,True
trip-153802021359954030,IND517583AAA,IND516101AAA,Carting,44.0,101.0,113.74,97.17,12.617855260867882,3.7904994653129505,True
trip-153810701976598210,IND517583AAA,IND516101AAA,Carting,43.0,114.0,118.02,97.62,3.528574893349096,14.371908972918371,False
trip-153819368789662557,IND517583AAA,IND516101AAA,Carting,44.0,96.0,106.99,93.56,11.452770233154297,2.546469637497495,True
trip-153836403640980213,IND517583AAA,IND516101AAA,Carting,45.0,95.0,108.47,97.09,14.180530748869243,2.2021349442367093,True
trip-153845507330248393,IND517583AAA,IND516101AAA,Carting,43.0,94.0,112.83,93.24,20.036884064370014,0.8082835081780254,True
trip-153853865465663527,IND517583AAA,IND516101AAA,Carting,44.0,96.0,113.07,95.92,17.777363459269203,0.08497169550810332,True
trip-153802078450459942,IND517644AAA,IND524132AAA,FTL,34.0,82.0,90.47,81.73,10.328274238400342,0.332457882473864,True
trip-153810762744814459,IND517644AAA,IND524132AAA,FTL,34.0,87.0,90.05,86.88,3.506610037266523,0.1393775710058022,True
trip-153819415176480421,IND517644AAA,IND524132AAA,FTL,34.0,64.0,55.39,61.79,13.454514741897583,3.455904847890212,True
trip-153836507123991146,IND517644AAA,IND524132AAA,FTL,34.0,69.0,65.61,68.04,4.910156692283741,1.3867365052039302,True
trip-153842996873268823,IND518002AAA,IND518206AAA,FTL,85.0,1127.0,1022.65,598.91,9.259190258984027,46.85785798557528,False
trip-153817154942648768,IND518002AAA,IND518401AAA,FTL,30.0,57.0,58.39,60.32,2.4362463700143917,5.826214444107673,False
trip-153825730923276362,IND518002AAA,IND518401AAA,FTL,30.0,56.0,54.63,59.89,2.4478912353515625,6.954972485384557,False
trip-153833865847707261,IND518002AAA,IND518401AAA,FTL,28.0,50.0,42.2,42.28,15.604042053222656,15.431679777635551,True
trip-153842984909596386,IND518002AAA,IND518401AAA,FTL,29.0,45.0,44.36,43.81,1.415184868706597,2.635083729339761,False
trip-153851629841510532,IND518002AAA,IND518401AAA,FTL,29.0,43.0,43.17,41.93,0.39010158804960027,2.4827947559574937,False
trip-153859976887812785,IND518002AAA,IND518401AAA,FTL,30.0,48.0,45.38,48.64,5.45046329498291,1.3286771749846458,True
trip-153816949685002144,IND518002AAA,IND518501AAA,FTL,54.0,77.0,89.48,81.72,16.208727948077314,6.12512885971823,True
trip-153825582024373194,IND518002AAA,IND518501AAA,FTL,63.0,105.0,130.11,118.52,23.918631417410715,12.876765316822919,True
trip-153833857795187422,IND518002AAA,IND518501AAA,FTL,57.0,87.0,93.33,92.17,7.271312845164332,5.939618068791334,True
trip-153842996873268823,IND518002AAA,IND518501AAA,FTL,54.0,99.0,93.7,85.69,5.351588701961017,13.447955345980741,False
trip-153838428523780330,IND518002AAA,IND562132AAA,FTL,303.0,404.0,420.16,417.92,4.001171754138304,3.4443722842663402,True
trip-153807888070969855,IND518002AAA,IND584101AAA,FTL,102.0,65.0,116.46,132.55,79.1765887920673,103.9202397448551,False
trip-153842652110511541,IND518002AAA,IND584101AAA,FTL,98.0,185.0,147.61,152.12,20.20916913006757,17.7726565742866,True
trip-153851268207010003,IND518002AAA,IND584101AAA,FTL,98.0,152.0,144.61,151.99,4.8617714329769735,0.009221777119574733,True
trip-153859859620844377,IND518002AAA,IND584101AAA,FTL,98.0,149.0,145.54,148.87,2.324323206139891,0.08731231956281002,True
trip-153817154942648768,IND518102AAA,IND518002AAA,FTL,129.0,280.0,258.33,255.9,7.738331386021205,8.605396001686195,False
trip-153833865847707261,IND518102AAA,IND518002AAA,FTL,129.0,244.0,238.32,245.18,2.326565101498463,0.48485763712641367,True
